num_load_level;;;;;;;;;;;;
1;;;;;;;;;;;;
stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
105;9;2024;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0291;1.0309;0.8591
106;10;2024;1.1054;1.0066;1;1;0.9288;1.0735;1;1.0276;1.0306;0.8602
107;11;2024;1.11;1.0068;1;1;0.9252;1.0778;1;1.0231;1.0323;0.8537
108;12;2024;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0178;1.0307;0.8599
109;1;2025;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0249;1.0307;0.8599
110;2;2025;1.1067;1.0067;1;1;0.9278;1.0747;1;1.0224;1.0311;0.8583
111;3;2025;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0287;1.0307;0.8599
112;4;2025;1.11;1.0068;1;1;0.9252;1.0778;1;1.0329;1.0323;0.8537
113;5;2025;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0416;1.0321;0.8548
114;6;2025;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0315;1.0309;0.8591
115;7;2025;1.102;1.0064;1;1;0.9315;1.0702;1;1.0299;1.0293;0.8652
116;8;2025;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0314;1.0307;0.8599
117;9;2025;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0291;1.0309;0.8591
118;10;2025;1.1054;1.0066;1;1;0.9288;1.0735;1;1.0276;1.0306;0.8602
119;11;2025;1.11;1.0068;1;1;0.9252;1.0778;1;1.0231;1.0323;0.8537
120;12;2025;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0178;1.0307;0.8599
end;;;;;;;;;;;;
num_load_level;;;;;;;;;;;;
3;;;;;;;;;;;;
stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
-1;-1;-1;1;2;3;4;5;6;7;8;9;10
1;1;2016;1;0.9913;1;1;1.0887;0.928;1;0.9423;1;1
2;2;2016;1;0.9912;1;1;1.0905;0.9268;1;0.9469;1;1
3;3;2016;1;0.9911;1;1;1.0913;0.9263;1;0.9369;1;1
4;4;2016;1;0.9912;1;1;1.0909;0.9266;1;0.9331;1;1
5;5;2016;1;0.9913;1;1;1.0887;0.928;1;0.9146;1;1
6;6;2016;1;0.991;1;1;1.0936;0.9248;1;0.9238;1;1
7;7;2016;1;0.9911;1;1;1.0913;0.9263;1;0.926;1;1
8;8;2016;1;0.9909;1;1;1.094;0.9246;1;0.9288;1;1
9;9;2016;1;0.9912;1;1;1.0909;0.9266;1;0.9354;1;1
10;10;2016;1;0.9913;1;1;1.0888;0.9279;1;0.9357;1;1
11;11;2016;1;0.9914;1;1;1.0882;0.9283;1;0.9466;1;1
12;12;2016;1;0.9909;1;1;1.094;0.9246;1;0.9477;1;1
13;1;2017;1;0.9911;1;1;1.0913;0.9263;1;0.9409;1;1
14;2;2017;1;0.9912;1;1;1.0522;0.9234;1;0.9478;1;1.1414
15;3;2017;1;0.9909;1;1;1.0543;0.9206;1;0.936;1;1.1478
16;4;2017;1;0.9916;1;1;1.0497;0.9266;1;0.9372;1;1.1342
17;5;2017;1;0.9911;1;1;1.0529;0.9225;1;0.9133;1;1.1436
18;6;2017;1;0.9912;1;1;1.0526;0.9228;1;0.9265;1;1.1429
19;7;2017;1;0.9911;1;1;1.0529;0.9225;1;0.9267;1;1.1436
20;8;2017;1;0.9909;1;1;1.0543;0.9206;1;0.9294;1;1.1478
21;9;2017;1;0.9912;1;1;1.0526;0.9228;1;0.936;1;1.1429
22;10;2017;1;0.9913;1;1;1.0515;0.894;1;0.9363;0.9494;1.2291
23;11;2017;0.9785;0.9926;1;1;1.0512;0.8947;1;0.9471;0.9498;1.2272
24;12;2017;0.9784;0.9926;1;1;1.0514;0.8942;1;0.9508;0.9495;1.2287
25;1;2018;0.9778;0.9924;1;1;1.0529;0.8917;1;0.9415;0.9482;1.2362
26;2;2018;0.9781;0.9925;1;1;1.0522;0.8929;1;0.9483;0.9489;1.2324
